CORP_CODE_ID,corp_code,fed_tax_id,name,FIRST_NAME,MIDDLE_NAME_NAME,LAST_NAME,address1,city,state,zip,COUNTY
63,895505909303390,,TOYOTA LEASE TRUST,,,,260 INTERSTATE N CIR NW  12FL,ATLANTA,GA,30339,
64,251909000761770,522101307,DAIMLER TRUST,,,,13650 HERITAGE PKWY  1ST FL,FT WORTH,TX,76177,
65,455505886926020,30369347,HYUNDAI LEASE TITLING TRUST,,,,210 COMMERCE  SUITE 100,IRVINE,CA,92602,
66,421065909088310,221751329000,HANN AUTO TRUST,,,,ONE CENTRE DRIVE,JAMESBURG,NJ,08831,
67,940000000160660,636183119,VAULT,,,,3104 UNIONVILLE RD  STE 200,CRANBERRY TOWNSHIP,PA,16066,
68,678505525605320,364114978,PORSCHE LEASING LTD,,,,4343 COMMERCE CT  300,LISLIE,IL,60532,
69,576505525366910,930790615,MMCA LEASE LTD,,,,PO BOX 9940,MOBILE,AL,36691,
70,278653909211520,113499573,DL PETERSON TRUST,,,,940 RIDGEBROOK RD,SPARKS,MD,21152,
71,678505525303540,364114978,PORSCHE LEASING LTD,,,,1 PORSCHE DRIVE,ATLANTA,GA,30354,
72,347783941430260,226674598,FINANCIAL SERVICES VEH TRUST,,,,5550 BRITTON PARK WAY,HILLIARD,OH,43026,
73,456789999999999,121436465,THE TEST LENDOR,,,,100 BNA BLVD,TRENTON,NJ,03545-,
74,126658899877445,254445,THE TEST LENDER2,,,,200 MAIN ST,BISMARK,ND,798746,
76,185150000761610,121436465,CHRYSLER CAPITAL,,,,PO BOX 961272,FT WORTH,TX,76161-,
77,559087347761770,,MERCEDES BENZ FIN S USA LLC,,,,13650 HERITAGE PKWY,FORT WORTH,TX,76177,
78,,,EAGLEMARK SAVING BANK,,,,PO BOX 277940,SACRAMENTO,CA,95827,
79,039347000760960,,AMERICREDIT  FINANCIAL ,,,,PO BOX 182673,ARLINGTON,TX,76096,
80,511065347303480,,LINCOLN AUTOMOTIVE FINANCIAL SERVICES,,,,PO BOX 105704,ATLANTA,GA,30348,
81,319211074608050,,EVERGREEN COMMUNITY BANK,,,,3845 W 95TH ST,EVERGREEN PARK,IL,60805,
82,529859074212970,,M & T BANK,,,,PO BOX 37258,BALTIMORE,MD,21297,
83,270338244180020,,DIGITAL FEDERAL CREDIT UNION,,,,PO BOX 25166,LEHIGH VALLEY,PA,18002,
84,678347783303540,,PORSCHE FINANCIAL SERVICES INC,,,,1 PORSCHE DRIVE,ATLANTA,GA,30354,
85,349433347024920,,FIRT HELP FINANCIAL,,,,199 WELLS AVE SUITE 107,NEWTON,MA,02459,
86,270338244017520,,DIGITAL FEDERAL CREDIT UNION,,,,220 DONALD LYNCH BLVD,MARLBOROUGH,MA,01752,
87,958335313554021,,WELLS FARGO EQUIMENT FINANCE INC,,,,733 MARQUETTE AVE SUITE700,MINNEAPOLIS,MN,55402-,
88,958335313554021,410982880,WELLS FARGO EQUIMENT FINANCE INC,,,,733 MARQUETTE AVE SUITE700,MINNEAPOLIS,MN,55402-,
89,71518-95959-58650,,CITIZENS BANK,,,,PO BOX 255587,SACRAMENTO,CA,95865,
90,34234-77830-76320,,FERRARI FINACIAL SERVICES ,,,,270 SYLVAN AVE ,ENGLEWOOD CLIFFS ,NJ,07632,
91,025329135079200,,AFFINITY FEDERAL CREDIT UNION,,,,73 MOUNTAIN VIEW BLVD,BASKING RIDGE,NJ,07920,
92,94106-50536-66910,456951107,VCFS AUTO LEASING COMPANY,,,,PO BOX 91300,MOBILE,AL,36691,
93,941509212366910,,VCFS LIEN COMPANY LLC,,,,POBOX 91300,MOBILE,AL,36691,
94,688338000085400,,PRINCETON FEDERAL CREDIT UNION,,,,104CARNEGIE CENTER SUITE 103,PRINCENTON,NJ,08540,
95,961347783900760,,WESTLAKE FINANCIAL  SERVICES,,,,PO BOX 76809,LOS ANGELES,CA,90076,
96,958335065850722,,WELLS FARGO BANK NA,,,,PO BOX 53439,PHOENIX,AZ,85072,
97,,,AMERICAN BROADCAST EMPLOYEES FEDERAL CREDIT UNION,,,,POBOX 4002 ANSONIA STATION,NEW YORK,NY,10023,
98,381065347760530,203346122,FUSION AUTO FINANCE LLC,,,,210 AIRPORT FREEWAY,BEDFORD,TX,76022-,
99,039460400760960,,GM FINANCIAL,,,,PO BOX 182673,ARLINGTON,TX,76096,
100,039460400760960,,GM FINANCIAL,,,,PO BOX 182673,ARLINGTON,TX,76096,
101,060338238180020,,ASPIRE FEDERAL CREDIT UNION,,,,67 WALNUT AVE  SUITE401,CLARK,NJ,07066,
102,,,HUNTINGTON NATIONAL BANK,,,,2361 MORSE ROAD NC 1512,COLUMBUS,OH,43229,
103,895586238303390, ,TOYOTA MOTOR CREDIT CORP,,,,260 INTERSTATE N CIRCLE NW12,ATLANTA,GA,30339-,
104,895586238303393, ,TOYOTA MOTOR CREDIT CORP,,,,260 INTERSTATE N CIRCLE NW12,ATLANTA,GA,30339-,
105,039460400210300,,GM FINANCIAL,,,,PO BOX 1510 ,COCKEYSVILLE,MD,21030,
106,,,FUSION AUTO FINANCE LLC,,,,210 AIRPORT FREEWAY,BEDFORD,TX,76022-,
107,736761074126010,,RHINEBEACK BANK,,,,2 JEFFERSON PLAZA,POUGHKEEPSIE,NY,12601,
108,46334-78559-58650,,INFINITI FINANCIAL SERVICES,,,,PO BOX 254648,SACRAMENTO,CA,95865,
109,597338238180020,,NAVY FCU,,,,PO BOX 25109 ,LEHIGH VALLEY,PA,18002,
110,158347519117910,,CARVANT FINANCIAL LLC,,,,PO BOX 465 ,SYOSSET,NY,11791,
111,565450935124020,,MID HUDSON F CU,,,,PO BOX 1429 ,KINGSTON,NY,48813,
112,552437338085201,,MCGRAW HILL FCU,,,,120 WINDSOR CENTER DRIVE,EAST WINDSOR,NJ,08520,
113,502193237441070,,LATVIAN CLEVELAND CREDIT UNION,,,,1385 ANDREWS AVE,LAKEWOOD,OH,44107,
114,850074000372300,,SUNTRUST BANK,,,,PO BOX 305110,NASHVILLE,TN,37230,
115,850074000372300,,SUNTRUST BANK,,,,PO BOX 305110,NASHVILLE,TN,37230,
116,72400-92319-58270,,REGIONAL ACCEPTANCE CORP,,,,PO BOX 277760,SACRAMENTO,CA,95827,
117,45550-58869-26600,30369347,HYUDAI LEASE TITLING TRUST,,,,4000 MACARTHUR BLVD,NEWPORT BCH,CA,92660,
118,32634-72317-50160,,EXETER FINANCE CORP,,,,PO BOX 166008,IRVINING,TX,75016,
119,039460400210300,,AMERICREDIT FINANCIAL SERVICES,,,,PO BOX 1510,COCKEYSVILLE,MD,21030,
120,477169338070167,,JERSEY CENTRAL FCU,,,,PO BOX 661,CRANFORD,NJ,07016,
121,452596074432293,,HUNTINGTON NATIONAL BANK,,,,2361 MORSE ROAD NC 1512,COLUMBUS,OH,43229,
122,,,GATES ONE LENDING AND FINANCE,,,,PO BOX 1013 ,ATWOOD,CA,92811,
123,07403-95253-00840,522324652,BANK OF AMERERICA LEASING & CAP LLC,,,,2059 NO LAKE PKWY 4TH FL,TUCKER,GA,30084-,
124,118074909284721,,BB& T,,,,PO BOX 1290 ,WHITTEVILLE,NC,28472,
125,039031302752613,,AMERICAN AIRLINES FCU,,,,MD 2100 PO BOX 619001,DFW AIRPORT,TX,75261,
126,796347000117470,,SIGNATURE FINANCIAL,,,,225 BROADHOLLOW RD,MELVILLE,NY,11474,
127,660338000078010,,PICATINNY FCU,,,,100 MINERAL SPRINGS ROAD,DOVER,NJ,07801,
128,411237920028860,,GREENWOOD CREDIT UNION,,,,2669 POST RD.,WARWICK,RI,02886,
129,,,NASA FEDERAL CREDIT UNION,,,,PO BOX 25122,LEHIGH VALLEY,PA,18002,
130,595338238207170,,NASA FEDERAL CREDIT UNION,,,,PO BOX 25122,LEHIGH VALLEY,PA,18002,
131,034238922958650,,ALLIANT CREDIT UNION,,,,11545 W. TOYHY AVENUE,CHICAGO,IL,60666,
132,353238009193170,,FLAGSHIP CREDIT ACCEPTANCE,,,,PO BOX 2070,COPPELL,TX,75019,
133,391618519928110,,GATES ONE LENDING AND FINANCE,,,,PO BOX 1013 ,ATWOOD,CA,92811,
134,391618519928110,,GATES ONE LENDING AND FINANCE,,,,PO BOX 1013 ,ATWOOD,CA,92811,
135,604338237201720,,NORTHWEST FCU,,,,PO BOX 279437,SACRAMENTO,CA,95827,
136,505668009300090,,LEASE PLAN ACCEPTANCE CORP,,,,PO BIX 405,ALPHARETTA,GA,30009,
137,675804338070040,,POLISH & SLAVIC FCU,,,,9 LAW DR,FAIRFIELD,NJ,07004,
138,,,CITIZENS ONE AUTO FINANCE,,,,1 CITIZENS DR ROP 17K,RIVERSIDE,RI,02915,
139,715189595958650,,CITIZENS ONE AUTO FINANCE,,,,1 CITIZENS DR ROP 17K,RIVERSIDE,RI,02915,
140,541053329088350,,MANVILLE AREA FEDERAL CREDIT UNION,,,,43 S MAIN ST ,MANVILLE,NJ,08835,
141,381065347760220,,FUSION AUTO FINANCE LLC,,,,1320 TENNIS DRIVE,BEDFORD,TX,76022-,
142,,,FUSION AUTO FINANCE LLC,,,,210 AIRPORT FREEWAY,BEDFORD,TX,76022-,
143,,,SHEFFIELD FINANCIAL,,,,PO BOX 1704 ,CLEMMONS,NC,27012,
144,774338000072070,,SEAPORT FEDERAL CREDIT UNION,,,,PO BOX 2000,ELIZABETH,NJ,07201,
145,,,MOTION FEDERAL CREDIT UNION,,,,PO BOX 1160,LINDEN,NJ,07030,
146,081859347270120,,SHEFFIELD FINANCIAL,,,,PO BOX 1704 ,CLEMMONS,NC,27012,
147,924675651088613,,UNITED POLES FCU,,,,412 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,08861,
148,211347825072030,,COMMUNITY FINANCIAL SERVICES FCU,,,,149 E ST GEORGE AVE,ROSELLE,NJ,07203,
149,857074000551010,,SYNCHRONY BANK,,,,332 MINNESOTA ST SUITE W600,ST PAUL,MN,55101,
150,488586039926190,,KIA MOTOR FINANCE,,,,4000 MACARTHUR BLVD ,NEWPORT BEACH,CA,92660,
151,859859311110010,,TT ENTERPRISES,,,,77 CARNATION AVE,FLORAR PK,NY,11001-,
152,796347000117470,,SIGNATURE FINANCIAL LLC,,,,225 BROADHOLLOW RD STE 132W,MELVILLE,NY,11747,
153,,,GENESYS CREDIT UNION,,,,PO BOX 7579,SIOUX CITY,IA,51106,
154,,,BMO HARRIS EQUIPMENT FINANCE COMPANY,,,,PO BOX 278270,SACRAMENTO,CA,95827-,
155,103422313532020,391168502,BMO HARRIS EQUIPMENT FINANCE COMPANY,,,,PO BOX 278270,SACRAMENTO,CA,95827-,
156,555992604083600,,MEMBERS FIRST OF NJ FCU,,,,37 WEST LANDS AVE ,VINELAND,NJ,08360,
157,393238922483430,,GENESYS CREDIT UNION,,,,PO BOX 7579,SIOUX CITY,IA,51106,
158,062338238070330,,THE ATLANTIC FEDERAL CREDIT UNION,,,,PO BOX 618,KENILWORTH,NJ,07033,
159,,,NASSAU EDUCATORS FCU,,,,1000 CORPORATE DRIVE,WESTBURY,NY,11590,
160,,,NEWARK FIREMAN FCU,,,,34 JERSEY ST ,NEWARK,NJ,07105,
161,599349238071050,,NEWARK FIREMAN FCU,,,,PO BOX 5086,NEWARK,NJ,07105,
162,265238922028630,,DEXTER CREDIT UNION,,,,934 DEXTER ST,CENTRAL FALLS RI,RI,02863,
163,,,CRESCENT BANK TRUST,,,,PO BOX 61813,NEW ORLEANS,LA,70161,
164,     -     -,,CRESCENT BANK TRUST,,,,PO BOX 61813,NEW ORLEANS,LA,70161,
165,697000000171060,,PSECU,,,,PO BOX 67017,HARRISBURG,PA,17106,
166,234301329072040,,COUNTY EDUCATORS FCU,,,,16 EAST LINCOLN OWE,ROSELLE PARK,NJ,,
167,234301329072040,,COUNTY EDUCATORS FCU,,,,16 EAST LINCOLN OWE,ROSELLE PARK,NJ,,
168,234301329072040,,COUNTY EDUCATORS FCU,,,,16 EAST LINCOLN OWE,ROSELLE PARK,NJ,,
169,,,AUTO FACTORS INC,,,,99 HAWTHORNE AVE,VALLEY STREAM,NY,11580,
170,505668930300091,367622565,LEASE PLAN USA LT,,,,1165 SANCTUARY PARKWAY,ALPHARETTA,GA,30009-,
171,065331460115800,,AUTO FACTORS INC,,,,99 HAWTHORNE AVE,VALLEY STREAM,NY,11580,
172,238922599086280,,CREDIT UNION OF NJ,,,,PO BOX 924220,FORT WORTH,TX,76124,
173,947329135137600,,VISIONS FEDERAL CREDIT UNION,,,,24 MCKINLEY AVE,ENDICOTT,NY,13760,
174,044133300071140,,ANHEUSER BUSCH EMPLOYEES CREDIT UNION ,,,,PO BOX 25392,FORT WORTH ,TX,76124,
175,610185338115720,,OCEANSIDE CHRISTOPHER FCU,,,,45 ATLANTIC AVE,OCEANSIDE,NY,1572,
176,962525000600160,016206961,WHEELS TL,,,,666 GARLAND PLACE,DES PLAINES,IL,60016-,
177,,,WOODSIDE CREDIT UNION,,,,PO BOX 12379,NEWPORT BEACH,CA,92658,
178,,,NBC NY EFCU,,,,1221 AVENUE OF AMERICAS LEVEL C2,NEW YORK,NY,10020,
179,392886027591070,,GE TITLE AGENT LLC,,,,PO BOX 35707,BILLINGS,MT,59107,
180,895586238303390, 2231934600,TOYOTA MOTOR CREDIT CORP,,,,260 INTERSTATE N CIRCLE NW12,ATLANTA,GA,30339-,
181,598607307100201,,NBC NY EFCU,,,,1221 AVENUE OF AMERICAS LEVEL C2,NEW YORK,NY,10020,
182,344732338088070,,FINANCIAL RESORCES FCU,,,,PO BOX 6999,BRIDGEWATER,NJ,08807,
183,662329135088370,,PINNACLE FEDERAL CREDIT UNION,,,,135 RARITAN CENTER PKWY,EDISON,NJ,08837,
184,,,,,,,,,,,
185,977338238070940,,XCEL FCU,,,,1460 BROAD ST,BLOOMFIELD,NJ,07703,
186,421338135017310,,HANSCOM FEDERAL CREDIT UNION,,,,1610 EGLIN ST,HANSCOM AFB,MA,01731,
187,640338000200360,,THE PARTNERSHIP FCU,,,,PO BOX 18539,WASHINGTON,DC,20036,
188,595301329115820,,NE FCU,,,,264 E MERRICH RD,VALLEY STREAM,NY,11582,
189,595347338115900,,NASSAU FINANCIAL FCU,,,,865 MERRICK AVE 250N,WESTBURY,NY,11590,
190,442519471028860,,HOME LOAN INVESTMENT BANK,,,,ONE HOME LOAN PLAZA,WARWICK,RI,02886,
191,455150039926020,,HYUNDAI CAPITAL AMERICA,,,,4000 MACARTHUR BLVD,NEWPORT B,CA,92660,
192,830335074537050,,STATE FARM BANK,,,,PO BOX 5961,MADISON,WI,53705,
193,848909074372300,,SUN TRUST BANK,,,,PO BOX 4000,WILMINGTON,OH,45177,
194,866065347958990,,TD AUTO FINANCE LLC,,,,PO BOX 997551,SACRAMENTO,CA,95899,
195,866065347958990,,TD AUTO FINANCE LLC,,,,PO BOX 997551,SACRAMENTO,CA,95899,
196,455505886926020,,HYUNDAI LEASE TITLING TRUST,,,,4000 MACARTHUR BLVD,NEWPORT BEACH,CA,92660-,
197,,,PALISADES FUNDING CORP,,,,PO BOX 255,MONTVILLE,NJ,07045,
198,,,,,,,,,,,
199,634379231070450,,PALISADES FUNDING CORP,,,,POBOX 255,MONTVILLE,NJ,07045,
200,,,ISUZU FINANCE OF AMERICA INC,,,,2500 WESTCHESTER AVE STE 312,PURCHASE,NY,10577,
201,,,TOWER FEDERAL CREDITUNION,,,,PO BOX 660426,SACRAMENTO,CA,95866,
202,866338237117880,,TEACHERS FEDERAL CREDIT UNION,,,,102 MOTOR PARKWAY ,HAUPPAUGE,NY,11788,
203,118074909284720,BBT,LIEN,,,,PO BOX 1290 , WHITEVILLE,NC,28472,
204,,,VAULT TRUST,,,,PO BOX 8138,COCKEYSVILLE,MA,21030-,
205,482338237201510,,JUSTICE FEDERAL CREDIT UNION,,,,5175 PARKSTONE DRIVE SUITE 200,CHANTILLY,VA,20151,
206,434338135170330,,HERSHEY FEDERAL CREDIT UNION,,,,232 HERSHEY RD,HUMMELSTOWN,PA,17026,
207,,,HYUNDAI MTR FINANCE CORP,,,,100550 TABBERT AVE,FOUNTAINNN VALLEY,CA,92708,
208,,,FIELD TARA A ,,,,181 FOREST ST,MONTCLAIR,NJ,07042-,
209,,,SCHOOL FIRST FCU ,,,,PO BOX 11547 ,SANTA ANA,CA,92711,
212,171033212080430,320485632,CERTIFIED AL COMPANY,,,,104 ROUTE 73NORTH,VOORHEES,NJ,08043-,
213,,,XHARLES GG SCHMOIDT CO INC,,,,301 WEST GRAND AVE,MONVALLE,NJ,07645-,
214,,,C&M LANDSCAPE CONTRACTORS INC,,,,61 EAST RAMAPO AVE,MANHAH,NJ,07495-,
216,,,BCI FINANCIAL CORP,,,,PO BOX 876,CHESHIRE,CT,06410,
217,270338244180020,,DCU FINANCIAL CORP,,,,PO BOX 9130,MARLBOROUGH,MA,01752,
218,081347231064890,,BCI FINANCIAL CORP,,,,PO BOX 876,CHESHIRE,CT,06410,
220,,,BANK OF GLEN BUNIE,,,,PO BOX 70,GLEN BURNIE,MD,21060,
221,930378761180020,,BANK OF GLEN BUNIE,,,,PO BOX 70,GLEN BURNIE,MD,21060,
222,,,EASY ORANGE VAN FCU,,,,385 TREMONT AVE,EAST ORANGE ,NJ,07018,
223,,,PALISADES VOLVO,,,,55 S ROUTE 303,WEST NYACK,NY,10994-,
225,48759-50002-88270,,KEY BANK NATIONAL ASSOCIATION,,,,PO BOX 21990,LEHIGH VALLEY,PA,18002,
226,298620935070180,,EAST ORANGE VAN FCU,,,,385 TREMONT AVE,EAST ORANGE ,NJ,07018,
227,509761338070361,,LIBERTY SAVINGS FCU,,,,666 NEWARK AVE,JERSEY CITY,NJ,07306,
228,,,MERCEDES BENZ FIN SERV USA LLC,,,,P.O. BOX 997542,SACRAMENTO,CA,95899,
229,074398131210610,,BANK OF GLEN BUNIE,,,,PO BOX 70,GLEN BURNIE,MD,21060,
230,,,DONLEN TRUST,,,,3000 LAKESIDE DR 2ND FL,BANNOCKBURN,IL,60015-,
231,,,GELCO FLEET TRUST,,,,3333 HESPER ROAD,BILLINGS,MT,59102-,
232,280909000600620,367354062,DONLEN TRUST,,,,3000 LAKESIDE DR 2ND FL,BANNOCKBURN,IL,60015-,
233,392354909591020,,GELCO FLEET TRUST,,,,3333 HESPER ROAD,BILLINGS,MT,59102-,
234,765338000927110,,SCHOOL FIRST FCU ,,,,PO BOX 11547 ,SANTA ANA,CA,92711,
235,,,FIRST ATLANTIC FCU,,,,468 INDUSTRIAL WAY,WEST EATONTOWN,NJ,07724,
238,244505231721080,,C.U LEASING CORP,,,,PO BOX 1071,POUGHKEEPSIE,NY,12602-,
239,,,B&B PARTY RENTALS OF NJ INC,,,,56 PROGRESS PLACE,JACKSON,NJ,08527-,
240,,,HEALTHCARE EMPLOYEES FCU,,,,29 EMMONS DR SUITE C-40,PRINCETON,NJ,08540,
241,473338238117880,,ISLAND FEDERAL CREDIT UNION,,,,120 MOTOR PKWY,HAUPPAUGE,NY,11788,
242,,,SERVICE CREDIT UNION,,,,PO BOX 1268,PORTSMOUTH,NH,03802,
243,,,C U LEASING CORP,,,,PO BOX 1071,POUGHKEEPSIE,NY,12602-,
244,79651900060660,,SIGNALENDING LLC,,,,1216 HARTFORD TURNPIKE,VERNON,CT,06066,
245,797338000064972,,SIKORSKY FCU,,,,1000 ORONOQUE LN,STRATFORD,CT,06614,
246,276998338103091,,DIVISION CREDIT UNION,,,,4886 ARTHUR KILL RD,STATEN ISLAND,NY,10309,
247,455150039926600,,KIA MOTOR FINANCE,,,,4000 MACARTHUR BLVD ,NEWPORT BEACH,CA,92660,
248,590307244212020,,M E C U OF BALTIMORE INC,,,,ONE SOUTH ST ,BALTIMORE,MD,21202,
249,,,FRIST TECH FCU,,,,PO BOX 276181,SACRAMENTO,CA,95827,
250,455505886926020,30369347,HYUNDAI LEASE TITLING TRUST,,,,4000 MACARTHUR BLVD,NEWPORT BEACH,CA,92660-,
251,,,NBT BANK,,,,52 SOUTH BROAD ST,NORWICH,NY,13815,
252,598074595138150,,NBT BANK,,,,52 SOUTH BROAD ST,NORWICH,NY,13815,
253,319074415605230,,EVERGREEN COMMUNITY BANK,,,,1515 W 22ND ST,OAKBROOK,IL,60523,
254,605338000079360,,NOVARTIS FEDERAL CREDIT UNION,,,,124 SOUTH RIDGEDALE AVE,EAST HANOVER,NJ,07936,
255,,,FIRST HERITAGE FCU,,,,110 VILLAGE SQUARE SUITE 101,PAINTED POST,NY,14870,
256,596338135432150,,NATIONWIDE FEDERAL CREDIT UNION,,,,1 NATIONWIDE PLAZA,COLUMBUS ,OH,43021,
257,409762338070540,,GARDEN SAVINGG FEDERAL CREDIT UNION,,,,129 LITTLRTON RD,PARSEPPANY,NJ,07054,
258,,133396018,CITIZENS ASSET FIANANCE INC,,,,480 JEFFERSON BLVD ,WARWICK,RI,02886-,
259,586312347076040,,MOTORENVY FINANCE INC,,,,60 RAILROAD AVE SUITE 113,HASBROOK HEIGHTS,NJ,07604-,
260,189060347028860,133396018,CITIZENS ASSET FIANANCE INC,,,,480 JEFFERSON BLVD ,WARWICK,RI,02886-,
261,,,,,,,,,,,
262,,,NEW CITY FUNDING CORP,,,,,,,,
263,,,NEW CITY FUNDING CORP,,,,PO BOX 121,STONY PT,NY,10980,
264,599190379109800,,NEW CITY FUNDING CORP,,,,PO BOX 121,STONY PT,NY,10980,
265,069135918600610,,BCU,,,,400 NO LAKEVIEW PARKWAY,VERNON HILLS,IL,60061,
