ContactID,name,first_name,last_name,Dear,address1,city,state,zip,Region,Country,Title,work_phone,work_phone_ext,HomePhone,MobilePhone,fax_number,email,FedexNumber,AirborneNumber,FEDexPrefered,AirbornePrefered,ship_airborn,ship_fedex,ShipTo,ShipToAtt,ShipToAddress,ShipToCity,ShipToState,ShipTozipcode,SHIPTOALT
453053862,Auto Europa Nissan,Cecile ,,,553 Burnside Ave,Inwood,NY,11696,,,,516-371-1500,,,,,,,86415239,False,True,False,False,,,,,,,False
453053863,Auto Tech Leasing,Biller (F),,,337 East 64th Street,New York,NY,10021,,,,212-794-0700,,,,,,,,False,False,False,False,,,,,,,False
453053864,Autobern Trading Corp,Alexandra ,,,25 Buckley Hill Road,Morristown,NJ,07960,,,,201-285-1330,,,,,,1033-5033-6,,True,False,False,False,,,,,,,False
453053865,Autoland of New Jersey,Maureen/Maria ,,,170 Route 22,Springfield,NJ,07081,,,,201-467-6165,,,,,,1027-8148-1,,True,False,False,False,,,,,,,False
453053866,B & L Toyota, Inc.,Nicole (F),,,3333 Boston Road,Bronx,NY,10469,,,,718-655-7000,,,,,,,,False,False,False,False,,,,,,,False
453053867,Baron Auto Mall,Sara/Debbie (F),,,1922 Utica Ave.,Brooklyn,NY,11234,,,,718-209-0900,,,,,,,,False,False,False,False,,,,,,,False
453053868,Baron Auto Mall - Medford,Cathy/Melissa ,,,2577 Route 112,Medford,NY,11763,,,,631-475-8000,,,,,,1336-1194-9,Account # is not valid,True,False,False,False,,,,,,,False
453053870,Bay Chevrolet,Margie,,,240-02 Northern Blvd.,Douglaston,NY,11363,,,,718-224-4400,,,,,,1202-9030-4,,True,False,False,False,,,,,,,False
453053871,Bayside Chrysler Plymouth Jeep,Laura (TITLE DEPT.),UPS ONLY !!!!!!!!!,,212-19 Northern Blvd.,Bayside,NY,11361,,,,718-229-8700,,,PRESS 4,,UPS ACCOUNT #8XX276,,,False,False,False,False,,,,,,,False
453053872,Beck Chevrolet / Volvo / Saab,Judith,,,561 Central Park Ave,Yonkers,NY,10704,,,,914-965-2400,1100,,,,,161162760,,True,False,False,False,,,,,,,False
453053873,Bell Ford/Bell Motors Inc,Patti,,,1200 Rt. 27,Colonia,NJ,07067,,,,732-388-6900,126,,,,,1160-3342-9,,True,False,False,False,,,,,,,False
453053874,Benjamin Pontiac,Scott / Benjamin,,,510 Sunrise Highway,Rockville Centre,NY,11570,,,,516-678-6200,,,,,,1106-7309-4,,True,False,False,False,,,,,,,False
453053875,Bergen County Dodge,Jennifer,,,925 Route 17 S,Ramsey,NJ,07446,,,,201-818-4100,,,,,,1542-2700-8,,True,False,False,False,,,,,,,False
453053876,Best Ford,Jasmine,,,239-50 Jericho Tpke,Floral Park,NY,11001,,,,516-358-2211,,,,,,1191-5634-3,,True,False,False,False,,,,,,,False
453053877,Beverly Hills Exotic Unique Autos,Delsey,,,61-20 Northern Blvd.,Woodside,NY,11377,,,,718-446-9665,,,,,,,133889670,False,True,False,False,,,,,,,False
453053878,Bill Kolb Jr Ford,Linda,,,201 N. Rt. 303,Blauvelt,NY,10913,,,,845-359-8100,,,,,,,76919609,False,True,False,False,,,,,,,False
453053879,Bishay Isuzu,Nancy ,,,75 Providence Hwy Route 1,East Walpole,MA,02032,,,,508-668-0900 Ext 224,,,,508-660-1931,,,72507519,False,True,False,False,,,,,,,False
453053880,BMW Financial Service NA, Inc.,Shawn (F),,,5515 Park Center Circle,Dublin,OH,43017,,,,800-959-4269-6950,,,,,,,,False,False,False,False,,,,,,,False
453053881,BMW Saab of Darien,Yves / Laura,,,140 Ledge Road,Darien,CT,06820,,,,203-656-1804  x 17,,,,,,,88947327,False,True,False,False,,,,,,,False
453053882,Brady-Stannard Chevrolet,Tom  Sculco ,,,Route 6 & 22,Brewster,NY,10509,,,,845-279-3731,,,,914-279-4665,,1104-7058-4,,True,False,False,False,,,,,,,False
453053883,Bridge Chrysler Jeep Plymouth, Sherri /Maureen/Annie,UPS!!!!!!!!!!!!!!!!!!!!,,283 N. Franklin Street,Hempstead,NY,11550,,,,516-483-5500,,,,,THEY USE UPS ACCT#107684,,,False,False,False,False,,,,,,,False
453053884,Bristol Motors Inc.,Roger,,,545 Route 22 W,North Plainfield,NJ,07060,,,,908-755-6400,,,,908-755-2430,,,79826733,False,True,False,False,,,,,,,False
453053885,Brodlieb Motors Inc.,Sheri/Elena,,,20 Franklin Place,Woodmere,NY,11598,,,,516-374-4600,,,,,,,95141448,False,True,False,False,,,,,,,False
453053886,Brogan Cadillac Oldsmobile, Inc.,TOM,,,720 Route 1 North,North Brunswick,NJ,08902,,,,732-247-1000,,,,,,,,False,False,False,False,,,,,,,False
453053887,Bronx Auto Mall,Caroline (F),z,,2625 E. Tremont Ave.,Bronx,NY,10461,,,,718-409-6000,,,,,,,,False,False,False,False,,,,,,,False
453053888,Brunswick Toyota,PRIA,,,1504 Route 1 N,No. Brunswick,NJ,08902,,,,732-418-8888,121,,,,,1417-5835-7,65399404,False,True,False,False,,,,,,,False
453053889,Campus Nissan,Zhafraz / Kassim,,,640 E. Fordham Rd,Bronx,NY,10458,,,,718-329-0900,,,,,,1698-9043-9,,True,False,False,False,,,,,,,False
453053890,Cape Cod Chrysler,Suzy ,,,258 North Street,Hyannis,MA,02601,,,,508-775-4970,,,,,,1230-8686-4,,True,False,False,False,,,,,,,False
453053891,Carriage House Motors Cars,Beverly,PM Delivery,,25 Railroad Ave.,Greenwich,CT,06830,,,,203-661-6669,,,,,,1833-5469-8,,True,False,False,False,,,,,,,False
453053892,Causeway Ford Linc Merc Honda,Tracey,UPS 9VX727,,375 Route 72 East,Manahawkin,NJ,08050,,,,609-597-8083,,,,609-597-6669,,,,False,False,False,False,,,,,,,False
453053893,Cavalier Ford,Jenni/Brenda,,,1515 So. Military Hwy,Chesapeake,VA,23320,,,,757-424-1111,,,,,,,15924513,False,True,False,False,,,,,,,False
453053894,Central Ave. Chrysler Jeep,Terri/Mildred, UPS ,,1839 Central Park Ave.,Yonkers,NY,10710,,,,914-961-5400 Ext 310,,,,,,,11408E,False,True,False,False,,,,,,,False
453053895,Cherry Hill Imports Corp.,brian,,,2261 W. Marlton Pike.,Cherry Hill,NJ,08002,,,,856-665-5370 XT 2218,,,,856-486-4788,THEY ALSO USE UPS ACCT#R2W593,3499-3424-8,,True,False,False,False,,,,,,,False
453053896,Clairmont Cadillac Pontiac,Lisa,,,1220 Bloomfield Ave.,West Caldwell,NJ,07006,,,t/clerk,973-575-0100,11,,,,,,1186 5027 0,False,True,False,False,,,,,,,False
453053897,Colonial Toyota Motors,Debbie,,,470 Boston Post Road,Milford,CT,06460,,,,203-878-7401  x308,,,,,,112502289,,True,False,False,False,,,,,,,False
453053898,Competition & Sports Cars Ltd.,Cathy,,,355 West Putnam Ave.,Greenwich,CT,06830,,,,203 661-1725,,,,,,1031-5686-6,,True,False,False,False,,,,,,,False
453053899,BMW of Darien/Continental Bmw,Brenda,,,140 Ledge Road,Darien,CT,06820,,,t/clerk,203-656-1804,,,,203-656-1802,,1147 9753 7,,True,False,False,False,,,,,,,False
453053900,Country Lincoln Mercury Mazda,Diane,,,147 West 11th Street,Huntington Station,NY,11746,,,,631-271-6800,,,,,,,9826 9666,False,True,False,False,,,,,,,False
453053901,CouponRadio Inc,David Alwadish,,,30 Rockefeller Plaza,New York,NY,10112,,,,212-586-8880,,,,,,,,False,False,False,False,,,,,,,False
453053902,zzzz,Judy (F),,,zzzz,zzzz,zzz,10467,,,,zzzz,,,,,,153131155,,True,False,False,False,,,,,,,False
453053903,Crowley Chevrolet,Joel/Shelly,,,33 Raymond Road,West Hartford,CT,06107,,,,860-236-5601,,,,,,,111196744,False,True,False,False,,,,,,,False
453053904,Curry Chevrolet Sales,Maria ,,,728 Central Ave.,Scarsdale,NY,10583,,,,914-723-9200,,,,,,119664101,,True,False,False,False,,,,,,,False
453053905,Denville Nissan, Inc.,SHIP TO NISSAN ,OF SPRINGFIELD,,3057 Route 10 East,Denville,NJ,07834,,,,973-442-0500,,,,201-442-1017,,222418895,,True,False,False,False,,,,,,,False
453053906,BMW Of Mt Laurel ,Patty,,,1220 route 73 south,mt laurel,NJ,08054,,,,856 840 1571,,,,,,393611286,,True,False,False,False,,,,,,,False
453053907,Detto Buick Inc,Cathy (F)/Title Clerk,,,330 West Old Country Rd.,Hicksville,NY,11801,,,,516-931-0900,,,,,,1110-9043-2,,True,False,False,False,,,,,,,False
453053908,Difeo BMW,Tamaris/Title Clerk,,,301 Country Rd.,Tenafly,NJ,07670,,,,201-568-2208,,,,,,1198-3202-0,,True,False,False,False,,,,,,,False
453053909,Difeo Buick,Yvette/Title Clerk,,,919 Communipaw Ave.,Jersey City,NJ,07304,,,,201-433-9500,,,,,,1403-3260-7,,True,False,False,False,,,,,,,False
453053910,Difeo Jeep,Rosina (F),,,315 Clendenny Ave. / Route 440,Jersey City,NJ,07304,,,,201-432-4674,,,,,,140332607,,True,False,False,False,,,,,,,False
453053911,Difeo Mazda,Lauren (F),,,585 Route 440,Jersey City,NJ,07304,,,,201-433-7788,,,,,,,,False,False,False,False,,,,,,,False
453053912,Difeo Nissan,Biller (F),,,977 Communipaw Ave.,Jersey City,NJ,07304,,,,201-433-9500,,,,,,,,False,False,False,False,,,,,,,False
453053914,Dom's 2nd Chance Auto Sales,Roseann,,,767 Route 22 West,North Plainfield,NJ,07060,,,,908-226-9400,,,,,,1782-8033-3,,True,False,False,False,,,,,,,False
453053915,East Hills Chevrolet Of Roslyn ,Nikki ,,,1039 Northern Blvd.,Roslyn,NY,11576,,,,516-869-8100 Ext 210,,,,,,1137-1256-2,,True,False,False,False,,,,,,,False
453053916,F & S Motors,Rosaline/TC,,,3768 Boston Road,Bronx,NY,10469,,,,718-920-1400,,,,,,,127879625,False,True,False,False,,,,,,,False
453053917,First Union Auto Finance,Steve,,,221 Main Street  Suite 250,San Francisco,Ca,94105,,,,,,,,,,1319-6543-5,,True,False,False,False,,,,,,,False
453053918,Fairfield County  Chrysler Dodge,Title Clerk,,,322 Westport Ave.,Norwalk,CT,06851,,,,203-845-8040,,,,,,,55079342,False,True,False,False,,,,,,,False
453053919,Felix F. Callari,Yves/Ron (A),,,See Continental BMW of Darien,,,,,,,,,,,,,,,False,False,False,False,,,,,,,False
453053920,FIVE TOWN TOYOTA,Karen/ Title Clerk,,,696 Burnside Ave.,Inwood,NY,11096,,,,516-394-7750,,,,,,2024 1422 2,,True,False,False,False,,,,,,,False
453053921,Flow Motors Inc.,Title Clerk,,,425 Silas Creek Pkwy,Winston- Salem,NC,27127,,,,910-723-3524,,,,,,0274-1106-1,,True,False,False,False,,,,,,,False
453053922,Fournier Jeep Eagle,Nancy/Burt (M),Express Mail #X028244,,939 Newport Ave.,Pawtucket,RI,02861,,,,401-725-4556,,,,401-725-2330,,,,False,False,False,False,,,,,,,False
453053923,Fred Opert Racing, Inc.,John Leotta (A),,,138 North Central Ave.,Ramsey,NJ,07446,,,,201-327-1111,,,,201-327-8222,,,,False,True,False,False,,,,,,,False
453053924,Freedom Ford,Title Clerk,,,1020 West Mercury Blvd.,Hampton,VA,23666,,,,757-838-3673,,,,,,,130675741,False,True,False,False,,,,,,,False
453053925,Freehold Jeep Eagle,Erin Brown (A),,,4304 Route 9 South,Freehold,NJ,07728,,,,908-780-2900,,,,908-308-3565,,,,False,False,False,False,,,,,,,False
453053926,Freehold Nissan,DO NOT USE,,,000000,00000,0000,00000,,,,908-780-3600,,,,,,,70005044,False,True,False,False,,,,,,,False
453053927,Freehold Toyota,Maria/TClerk,,,4268 Route 9 South,Freehold,NJ,07728,,,,732-431-1300,,,732-984-6170,,,111959129,,True,False,False,False,,,,,,,False
453053928,Glen Cove Lincoln Mercury,Mari/TClerk,,,49 Glen Cove Ave.,Glen Cove,NY,11542,,,,516-671-4700,,,,,,1057-4835-3,,True,False,False,False,,,,,,,False
453053929,Globe Motor Car,Lee/TClerk,,,1230 Bloomfield Ave.,Fairfield,NJ,07004,,,,973-227-3600,,,,,,1690-9756-9,,True,False,False,False,,,,,,,False
453053930,Goldsmith Motors,Veronica/TCLerk,,,138-54 94th Ave.,Jamaica,NY,11435,,,,718-526-8100,,,,,,,95352678,False,True,False,False,,,,,,,False
453053931,Greenwich Honda,Jennifer,,,289 Mason St.,Greenwich,CT,06830,,,,203-622-0606,,,,,,179239140,,True,False,False,False,,,,,,,False
453053932,Gregoris Motors Inc.,Cecile/TClerk,,,555 West Merrick Road,Valley Stream,NY,11580,,,,516-825-8700,,,,,,152011822,,True,False,False,False,,,,,,,False
453053933,Grenadier Realty Corp.,Richard/TClerk,,,155 Elmira Loop,Brooklyn,NY,11239,,,,718-240-4664,,,,,,1262-1355-7,,True,False,False,False,,,,,,,False
453053934,Guardsman Auto Lease - Gelco,Frank/TClerk,FedEx or Airborne???,,80 Sherwood Ave.,Farmingdale,NY,11735,,,,516-293-1000 Ext.214,,,,,,0117-2388-8,,False,False,False,False,,,,,,,False
453053935,Hallock Chevrolet, Inc.,Karen/TClerk, ,,150 Pine Hollow Road,Oyster Bay,NY,,,,,516-922-3400,,,,,,1758-9900-6,,True,False,False,False,,,,,,,False
453053936,Harbor Lincoln Mercury Inc.,Title Clerk,,,62-10 Northern Blvd.,Woodside,NY,11377,,,,718-457-4400,,,,,,,101980469,False,True,False,False,,,,,,,False
453053937,Harbor Motors,Kevin/TClerk,,,225 Middlesex Turnpike,Old Saybrook,CT,06475,,,,860-388-9166,,,,,,1222-6905-1,,True,False,False,False,,,,,,,False
453053938,In Error,Carol P/TClerk,,,280 W Sunrise Highway,Freeport,NY,11520,,,,516-378-6300,,,,,,,92922201,False,True,False,False,,,,,,,False
453053939,Gateway Kia,t/clerk,,,1425 Easton Road                             ,Warrington,PA,18976,,,,215-491-1400,,,,,,,2082 3419 5,True,True,False,False,,,,,,,False
453053940,Herb Chambers, Inc.,Jeanne/TClerk,,,20 Jennings Rd.,Hartford,CT,06120,,,,860-525-8500,,,,,,1054-0693-2,,True,False,False,False,,,,,,,False
453053941,Herb Obser Motors,Frank Rizzo/TClerk,,,Route 58 & Osborne Ave.,Riverhead,NY,11901,,,,516-727-0700,,,,,,,95563253,False,True,False,False,,,,,,,False
453053942,ZZZZ,NIVEA,1012680318,,6608 Kennedy Blvd.,West New York,NJ,07093,,,,201-868-9500,,,BILL THIRD PARTY ONLY!,1012680318,,,773887138,True,True,False,False,,,,,,,False
453053943,Inskip Auto Center,,,,1515 Baldhill Road  Route 2,Warwick,RI,02886,,,,401-821-1510,4597,,,6686 (Jen),,352213705,,True,False,False,False,,,,,,,False
453053944,InterCar, Inc.,Betty,w,,92 Hampton House Road,Newton,NJ,07860,,,,973-383-8300,,,,,,1687 3374 7,,True,False,False,False,InterCar, Inc., , , , , ,False
453053945,International Honda,Ari/TClerk,Acct#???????????,,6608 Kennedy Blvd.,West New York,NJ,07093,,,,201-868-9500,,,,,,,,False,False,False,False,,,,,,,False
453053946,Ira Porsche of Danvers,Laurie/Title Clerk,,,97 Andover St.  Rt. 114,Danvers,MA,01923,,,,978-739-8806,,,,,,1025-1190-5,,True,False,False,False,,,,,,,False
453053947,J & F Oldsmobile Isuzu,Rosina (F),,,315 Clendenny Ave,Jersey City,NJ,07304,,,,201-432-4674,,,,,,,,False,False,False,False,, , , , , ,False
453053948,Fred Beans Toyota Flemington,Dianne ,,,172 Route 202,Flemington,NJ,08822,,,,908-788-5700,,,,908-788-4023,,349145111,,True,False,False,False,,,,,,,False
453053949,Jenco Leasing Co.,Biller (F),,,159 Northern Blvd.,Great Neck,NY,11021,,,,516-482-0883,,,,,,,,False,False,False,False,,,,,,,False
453053950,Jerry Rome Nissan,Gary / Cheryl (F),,,1000 Main Street,Holyoke,MA,01041,,,,800-637-7663,,,,,,1094-6652-2,,True,False,False,False,,,,,,,False
453053951,JMK Auto Sales/ BMW,Olga,,,391 Route 22 East,Springfield,NJ,07081,,,,973-379-7744,,,,,,121399342,,True,False,False,False,,,,,,,False
453053952,John Lucas Chev/Geo/Olds,John Lucas (A),,,3410 Sunset Ave.,Ocean,NJ,07712,,,,732-918-1100,,,,732-918-2117,,,139100563,False,True,False,False,,,,,,,False
453053953,Jones Pontiac/Honda/GMC,Crystal (A)/R. Rega,,,1335 Manheim Pike,Lancaster,PA,17604,,,,717-394-0711,,,,717-394-9758,,,76691179,False,True,False,False,,,,,,,False
453053954,Kay Motors / Kay Honda / DCH Motors,Tanya - Title Clerk,,,200 Route 36,Eatontown,NJ,07724,,,,732-542-5900,,,,,,,65399404,False,True,False,False,,,,,,,False
453053955,King Toyota,,,,1441 so. Federal Hwy.,Deerfield Beach,FL,33441,,,,954-421-4000,,,,,,1045-6940-4,,True,False,False,False,,,,,,,False
453053956,,Long Island City Hyundai,Vangie,,,43-43 Northern Blvd.,Long Island City,NY,11101,,,,718 361 6900,,,,,,,6Y893X,False,True,False,False,,,,,,,False
453053957,Kryten Iron Works,Cecila (F),,,430 Morgan Avenue,Brooklyn,NY,11222,,,,718-782-5000,,,,,,,,False,False,False,False,,,,,,,False
453053958,Kundert Volvo,Eilleen/TClerk,,,136 Route 17 North,Hasbrouck Hts,NJ,07604,,,,201-288-8984,,,,201-288-7893,,109110140,,True,False,False,False,,,,,,,False
453053959,L. J. Marchese Chevrolet,Marilyn/TClerk,,,Route 9 W  PO Box 1000,Fort Montgomery,NY,10922,,,,845-446-4718,,,,,,1818-8313-8,,True,False,False,False,,,,,,,False
453053960,Labriola Motors,Shonda (F),,,120 East Newman Springs Rd.,Red Bank,NJ,07701,,,,908-741-2433,,,,,,,,False,False,False,False,,,,,,,False
453053961,Laurel Toyota Jaguar,Betty Erien (A),,,3516 Ft. Meade Road,Laurel,MD,20724,,,,301-725-4400,,,,,,,67036520,False,True,False,False,,,,,,,False
453053962,Lawrence Lexus,Sally (F),,,3333 Route 1,Lawrenceville,NJ,08648,,,,609-243-7077,,,,,,1323-5131-7,,False,False,False,False,,,,,,,False
453053963,Leith Toyota,Nina (A),,,4800 Capital Blvd.,Raleigh,NC,27616,,,,919-876-5900,,,,,,,116074310,False,True,False,False,,,,,,,False
453053964,Lester Glenn Auto Group,Ryan/Lauren ,,,386 Route 37 East,Toms River,NJ,08753,,,,732-349-4200,,,,,,1224 1198 2 ,,True,False,False,False,,,,,,,False
453053965,Lexus of Cherry Hill,Barbara ,,,2791 Route 73,Maple Shade,NJ,08052,,,,856-727-1111,,,,,,1293-9609-1,,True,False,False,False,,,,,,,False
453053966,Lexus of Englewood,Marsha,,,53-59 Engle St.,Englewood,NJ,07631,,,,201-568-3900,,,,,,1298 3923 6,,True,False,False,False,,,,,,,False
453053967,Liberty Chevrolet    ,DO NOT USE,HAS OWN AIRBILL!!!,,DO NOT USE,DO NOT USE,NA,NA,,,,781-451-3081,,,,,,Please Hand PRINT aIRBILL,,False,False,False,False,,,,,,,False
453053968,Liberty Toyota, Inc.,Traci Kyle (A),Air ,,204 Route 130 & Jerome St.,Burlington,NJ,08016,,,Title Clerk,609-386-6300,,,,609-387-8385,,114407143,101477422,False,True,False,False,,,,,,,False
453053969,Lilliston Ford  Inc,Title Clerk,,,833 No. Delsca Dr.,Vineland,NJ,08360,,,,609-691-2020 Ext.223,,,,,,1255-5158-0,,True,False,False,False,,,,,,,False
453053970,Luxury Cars of Bayside/BMW of Bayside,,,,247-21  Northern Blvd.,Douglaston ,NY,11363,,,,718-229-4400,,,347-964-8317 or 19,,,279365-500,,True,False,False,False,,,,,,,False
453053971,Mendon Trucking Lsg,Title Clerk,,,1012 Saw hill River Road,Yonkers,NYNJ,10710,,,,914-375 2200,,,,,,1090-8474-3,,True,False,False,False,,,,,,,False
453053972,Manhattan Motorcars,Yanira,,,270 11th Ave.,New York,NY,10001,,,,212-594-6200,,,,,,201075912,,True,False,False,False,,,,,,,False
453053973,Mario D'Addario Buick,Title Clerk - JERSEY,,,329 Bridgeport Ave.,Shelton,CT,06484,,,,203-929-5391,,,,,,1106-0020-8,,True,False,False,False,,,,,,,False
453053974,Marty Sussman, Inc.,Carolyn Botta,BILL THIRD PARTY,,6807 Tilton Road,Pleasantville,NJ,08232,,,SHIPPING ADDRESS IS DIFFERENT,609-641-1900,,,,,,,106668374,False,True,False,False,,,,,,,False
453053975,Maxon Mazda/Hyundai,Elizabeth/TClerk,,,2329 Route 22 West,Union,NJ,07083,,,,908-851-4651,,,,908-810-1307,,,9VX878,False,True,False,False,Maxon Mazda/Hyundai, , , , , ,False
453053976,Mayer of Westchester,Maria (F),,,2001 Boston Post Road,Larchmont,NY,10538,,,,914-834-1500,,,,,,1609-7012-0,,True,False,False,False,,,,,,,False
453053977,Meadowland Ford,Stacie (F),,,330 County Ave.,Secaucus,NJ,07096,,,,201-617-0700,,,,,,1443-5705-1,,True,False,False,False,,,,,,,False
453053978,Mercedes Benz Manhattan,Carmel,,,536 West 41st Street,New York,NY,10036,,,,212-629-1611,,,,,,0100-6593-3,,True,False,False,False,,,,,,,False
453053979,Merriam Jeep/Eagle,Harris Ruderman  (U),UPS,,895 N Colony Rd.,Wallingford,CT,06492,,,,203-265-2001,,,,203-265-1609,UPS # F199X1,,,False,False,False,False,,,,,,,False
453053980,Metro Toyota/New Rochelle Jeep,Cari (F),,,47 Cedar Street,New Rochelle,NY,10801,,,,914-576-8000,,,,,,1801-8663-8,,True,False,False,False,,,,,,,False
453053981,MicroTech Systems,Tom Ferrazzi,,,18 Kendall Circle,Waterbury,CT,,,,,2037566736,,,,,,,,False,False,False,False,,,,,,,False
453053982,Midland Imports, Inc.,Biller (F),,,405 Quaker Lane,W. Warwick,RI,02893,,,,401-826-1500,,,,,,1235-2644-9,,True,False,False,False,,,,,,,False
453053983,Montclair Acura,Erlanda (F),,,100 Bloomfield Ave.,Verona,NJ,07044,,,,973-239-3700,,,,,,1088-7521-6,223079871,False,True,False,False,,,,,,,False
453053984,Motor Cars of Florida,Teresa (F),,,2656 South Federal Hwy,Delray Beach,FL,33483,,,,407-279-8700,,,,,,,,False,False,False,False,,,,,,,False
453053985,Motor Network Ltd.,Elaine (F),,,1250 Broadway,Hewlett,NY,11557,,,,516-569-0000,,,,,,1738-1229-9,,True,False,False,False,,,,,,,False
453053986,Motor World,Stacy/TClerk,,,315 Route 4 West,Paramus,NJ,07652,,,,201-488-9000 Ext. 246,,,,,,1107-0122-5,,True,False,False,False,,,,,,,False
453053987,Nemet Motors,Jainy,,,153-03 Hillside Ave.,Jamaica,NY,11434,,,,718-523-5858,,,,,,279375726,,True,False,False,False,,,,,,,False
453053988,New Country Motor Cars, Inc.,Diane (F),,,One Weston Park Road,Hartford,CT,06120,,,,860-522-6134,,,,,,1690-9812-3,,True,False,False,False,,,,,,,False
453053989,New Rochelle Ford,Denise (U),UPS# 11632E,,200 Main Street,New Rochelle,NY,10801,,,,914-576-6000,,,,,,,,False,False,False,False,,,,,,,False
453053990,New Rochelle Jeep/Eagle,Pam (F),,,47 Cedar St.,New Rochelle,NY,10801,,,,914-576-8000,,,,,,1801-8663-8,,True,False,False,False,,,,,,,False
453053991,Nissan Land,Helen (A),,,550 Burnside Ave.,Inwood,NY,11096,,,,516-371-3111,,,,,,,136765068,False,True,False,False,,,,,,,False
453053992,Northern Blvd. Dodge,SHIP TO BAYSIDE,CHRYSLER,,209-01 Northern Blvd.,Bayside,NY,11361,,,,718-229-8181,,,,,,,,True,False,False,False,,,,,,,False
453053993,NYNEX Mobile Communications,Vince  Sorino (F),,,2000 Corporate Drive,Orangeburg,NY,10962,,,,914-365-7200,,,,,,,,False,False,False,False,,,,,,,False
453053994,Ourisman's Rockmount Chevrolet,Bernadine ,,,15301 Frederick Road,Rockville,MD,20855,,,,301-424-5900,,,,301-424-4357,,,2202E7,False,True,False,False,,,,,,,False
453053995,Paramus Auto Mall Chevrolet,Dawn/TClerk,prem,,194 Route 17 North,Paramus,NJ,07652,,,,201-261-7100,,,,,,1962-2729-6,,True,False,False,False,,,,,,,False
453053996,Paramus Honda,do not use,Express,,W 120 Route 4 West,Paramus,NJ,07652,,,,201-368-0180,,,201-218 6822,,,,,False,True,False,False,,,,,,,False
453053997,Park Place,Shirley (F),,,3316 Atwell Street,Dallas,TX,75235,,,,214-353-7219,,,,,,,,False,False,False,False,,,,,,,False
453053998,Parkfield Motors, Inc.,Vanessa (F),,,232 North Washington Ave.,Bergenfield,NJ,07621,,,,201-385-1144,,,,,,12908752-8,,True,False,False,False,,,,,,,False
453053999,Passport Pontiac Buick Mazda,Denise (F),,,5001 Authority Way,Marlow Heights,MD,20746,,,,301-423-2200 Ext.453,,,,,,1398-9929-6,,True,False,False,False,,,,,,,False
453054000,Paul Conte Chevrolet,Christina ASK FOR ,LABEL ,,42 East Sunrise Hwy ,Freeport,NY,11520,,,,516-623-9600,,,,,,,,True,False,False,False,,,,,,,False
453054001,Pell Pontiac GMC,Alex (F),,,88 Turnpike Road,Westboro,MA,01581,,,,508-366-8787,,,,,,1247-7877-8,,True,False,False,False,,,,,,,False
453054002,Pepe Infiniti,Title Clerk, ,,15 Water Street,White Plains,NY,10601,,,,914-428-0900,,,,,,169762716,,True,False,False,False,,,,,,,False
